,Key,year,quarter,Monthly_Sum_x,NOM_CAS_AD,NO_CAS_ADM,OBJECTID,AreaSqKm,CentroidX,CentroidY,GridName,Avg_Pop__Densi,Avg_Income___T,Avg_Income___2,Avg_Income___3,Avg_Housing___,Avg_Education_,Crime_Count,Quarterly_Fire_Count,Quarterly_Fire_Sum
87,Caserne 03 Grid1_0,2021,4,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_0,5239.475,1881.66666666667,100.0,87.5,1285.0,1873.33333333333,10.0,79,79
88,Caserne 03 Grid1_0,2022,1,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_0,5239.475,1881.66666666667,100.0,87.5,1285.0,1873.33333333333,10.0,69,69
89,Caserne 03 Grid1_0,2022,2,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_0,5239.475,1881.66666666667,100.0,87.5,1285.0,1873.33333333333,35.0,80,80
90,Caserne 03 Grid1_1,2015,1,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,1,1
91,Caserne 03 Grid1_1,2015,2,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,1,1
92,Caserne 03 Grid1_1,2016,1,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,1,1
93,Caserne 03 Grid1_1,2016,2,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,1,1
94,Caserne 03 Grid1_1,2016,3,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,2,2
95,Caserne 03 Grid1_1,2017,2,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,1,1
96,Caserne 03 Grid1_1,2017,3,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,1,1
97,Caserne 03 Grid1_1,2017,4,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,2,2
98,Caserne 03 Grid1_1,2018,1,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,2,2
99,Caserne 03 Grid1_1,2018,4,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,2,2
100,Caserne 03 Grid1_1,2019,2,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,4,4
101,Caserne 03 Grid1_1,2019,3,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,2,2
102,Caserne 03 Grid1_1,2019,4,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,4,4
103,Caserne 03 Grid1_1,2020,1,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,4,4
104,Caserne 03 Grid1_1,2020,2,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,1,1
105,Caserne 03 Grid1_1,2020,3,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,2,2
106,Caserne 03 Grid1_1,2020,4,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,2,2
107,Caserne 03 Grid1_1,2021,2,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,2,2
108,Caserne 03 Grid1_1,2021,3,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,4,4
109,Caserne 03 Grid1_1,2021,4,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,2,2
110,Caserne 03 Grid1_1,2022,1,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,4877.6,1205.0,100.0,83.2,790.0,1212.5,0.0,2,2
111,Caserne 04 Grid0_1,2015,1,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,0.0,2,2
112,Caserne 04 Grid0_1,2015,3,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,0.0,4,4
113,Caserne 04 Grid0_1,2015,4,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,0.0,2,2
114,Caserne 04 Grid0_1,2016,1,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,0.0,2,2
115,Caserne 04 Grid0_1,2016,2,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,0.0,1,1
116,Caserne 04 Grid0_1,2016,3,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,1.0,1,1
117,Caserne 04 Grid0_1,2016,4,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,3.0,2,2
118,Caserne 04 Grid0_1,2017,1,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,0.0,2,2
119,Caserne 04 Grid0_1,2017,2,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,0.0,2,2
120,Caserne 04 Grid0_1,2017,3,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,0.0,2,2
121,Caserne 04 Grid0_1,2017,4,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,0.0,1,1
122,Caserne 04 Grid0_1,2018,1,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,0.0,1,1
123,Caserne 04 Grid0_1,2018,2,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,0.0,1,1
124,Caserne 04 Grid0_1,2018,3,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,0.0,1,1
125,Caserne 04 Grid0_1,2018,4,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,0.0,1,1
126,Caserne 04 Grid0_1,2019,1,Quarterly_Sum,Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,859.35,1487.5,100.0,76.5,842.5,1425.0,0.0,2,2
